"","GSE111842","GSE109761","GSE111065","GSE51827","GSE55807","GSE67939","GSE75367","GSE86978","GSE41245"
"ADH1A",0.087,0.00034,0.00011,0.011,0.25,NA,0.00027,0.00044,0.64
"ADH1B",0.0051,0.2,0.14,0.00047,0.055,NA,0.087,0.00028,0.016
"ADH1C",NA,0.54,0.57,0.064,NA,NA,0.28,0.013,0.44
"ADH4",0.2,0.044,0.025,0.23,0.4,NA,0.039,0.25,0.25
"ADH5",5.5e-05,0.23,0.28,8.3e-05,0.43,0.37,0.00048,1.9e-09,0.055
"ADH6",0.0038,1.5e-09,6.2e-11,3.5e-07,0.0094,NA,8.4e-10,2.8e-13,0.32
"ADH7",NA,0.082,0.14,0.0062,0.0048,NA,0.0061,0.016,0.67
"ALDH1B1",2.7e-06,0.91,0.43,2.6e-05,0.036,0.011,3.9e-08,1.3e-08,0.082
"ALDH2",0.00019,0.64,0.93,8.9e-07,0.56,0.0069,0.0032,2.1e-09,0.42
"ALDH3A2",4.2e-07,0.015,0.044,7.3e-08,0.9,0.41,3.9e-09,6.8e-12,0.039
"ALDH7A1",0.00068,2.1e-08,9.6e-09,0.032,0.0064,0.011,0.093,0.68,0.48
"ALDH9A1",4.8e-07,0.92,0.84,2.1e-05,0.19,NA,3.3e-05,1.6e-07,0.00092
